"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Country","Country ID"
0.2345273898,0.1891495065,0.1844634561,0.2098544968,0.2103126631,0.182344366,0.2302135329,0.2442793784,0.2602980875,0.3840919731,0.4197758572,0.3791382597,0.4340636057,0.4216723249,0.4577717538,0.5795811255,0.6026954045,0.6014184615,0.5629571081,0.5240431294,0.5547636931,0.5464188458,0.5282838522,0.6363281881,"Bulgaria","eubgr"
,,,,,,,,,,,,,-1.1711961256,-1.1698105869,-1.4376724681,-1.3238724068,-1.3520494384,-1.3474803298,-1.5150805137,-1.5716394871,-1.6043941192,-1.509143672,-1.4071455734,"Burkina Faso","afbfa"
,,,-1.3832653284,-1.3660354378,-1.4490543194,-1.3617311482,-1.395462996,-1.3759526208,-1.2080938107,-1.1876648649,-1.2581128042,-1.3776527511,-1.4090525143,-1.2994714517,-1.0900752567,-1.0082807627,-1.128072306,-1.0940461276,-1.0016278145,-0.9356949205,-0.8593173397,-0.9388064034,-0.767353369,"Burma","asmmr"
,,,-1.3234893276,-1.3409817724,-1.4486196927,-1.4411011933,-1.3660495027,-1.3684959873,-1.1151137049,-1.0208735074,-0.9878885219,-1.0312808411,-0.9785272849,-0.9096955458,-1.0145292664,-0.6550433888,-0.4384235486,-0.4827078415,-0.415936707,-0.5031025191,-0.5334144721,-0.612277699,-0.64788843,"Cambodia","askhm"
-1.790999124,-1.8132260124,-1.7579418721,-1.5824918942,-1.2675175909,-1.1304772417,-1.1402854456,-1.467551008,-1.4946108668,-1.2577461274,-1.1258138615,-1.0289351609,-0.9402709938,-0.8143822879,-0.9537686457,-0.8314874493,-0.841008682,-0.6314366724,-0.5737555814,-0.88938847,-1.0447961699,-1.1583786851,-1.2264733459,-1.2673634898,"Cameroon","afcmr"
0.9578597133,0.9177862659,0.8320158427,0.8661473475,0.8186310267,0.7826873183,0.79738437,0.739303247,0.6975579412,0.6412123148,0.5536434786,0.5254507328,0.4476213611,0.5531456241,0.5759554307,0.5879377529,0.6188247904,0.5498716364,0.4623759174,0.5479443718,0.5178472594,0.5314949174,0.5091595685,0.4836242954,"Canada","nacan"
,,,,,,,,-2.1658180181,-2.7064660823,-2.6218941283,-2.0564428704,-0.2186962998,0.0253519125,-0.7556247899,-2.4075711544,-2.4644270882,-1.886630256,-1.8885249381,-1.9072951161,,,,-1.9883025164,"Chad","aftcd"
0.0260481476,-0.0590663431,-0.0246871633,-0.0357667383,-0.1728147555,-0.2370063015,-0.2321296722,-0.3112919618,-0.2894531715,-0.2297911481,-0.2843538413,-0.3501922667,-0.4869751619,-0.3800962944,-0.2730497816,-0.2239035482,-0.1529434443,-0.2076718851,-0.2829587849,-0.2303072636,-0.2520622928,-0.3407877797,-0.3499828734,-0.2858739855,"Chile","sachl"
-0.11281056,-0.0350367617,0.1671234218,0.2845021125,0.2775227197,0.3377377955,0.4390871598,0.5174326393,0.5921216175,0.7557679936,0.8758664758,0.9350831976,0.9795395066,1.0931128417,1.1405868955,1.1141173845,1.1437121555,1.1653897843,1.1323907372,1.1582082572,1.1820640497,1.1820473624,1.1984097827,1.2235795258,"China","aschn"
0.6461186722,0.793238156,1.0011772968,1.2976040768,1.4021635142,1.4082745937,1.548839323,1.5943109485,1.6593054461,1.6484273755,1.6829230298,1.7275168833,1.8324672632,1.9174414804,1.9475430632,1.87407642,1.8919038641,1.947415024,1.9499516532,2.0854193934,2.0956253897,2.1510296288,2.2304213926,2.2077522566,"Chinese Taipei","asxxb"
-0.1081946088,-0.0965046579,-0.0061729437,0.143486924,0.2035894243,0.0209999715,-0.0629083635,-0.2091607162,-0.1291012086,0.0226265772,0.1734621279,0.1552070499,0.1487453935,0.10775253,0.1495169621,0.2483448935,0.2759685144,0.1160145007,0.1857486817,0.1170562394,0.1412129376,0.1569647234,0.1720054648,0.1633164849,"Colombia","sacol"
-0.4382446,-0.2901218513,-0.1241533162,-0.0637909569,-0.0901439674,-0.1293407524,-0.2048123322,-0.1391435121,0.0263639293,0.1547599035,0.1931871662,0.1543865774,0.0599327085,0.0657033034,0.1717674444,0.3140358514,0.3989443268,0.3890709335,0.3446813409,0.2223819195,0.1745782897,0.2259520069,0.2106422287,0.2779034898,"Costa Rica","nacri"
-1.4727561039,-1.4111727565,-0.9872146972,-0.7358083104,-0.6475133316,-0.6964612382,-0.6976040151,-0.6979872394,-0.7027528044,-0.7571342315,-0.8209292106,-0.9243304858,-1.1084666021,-0.8826460638,-0.9639358186,-0.7571833241,-0.752748956,-0.6956059766,-0.6037319194,-0.7042112879,-0.8085087459,-0.8862255207,-0.9958864647,-1.0954610955,"Cote d'Ivoire","afciv"
0.3829475597,0.4321566301,0.3917939426,0.4252932481,0.4652589839,0.3873664803,0.5062343621,0.5617867017,0.5830743037,0.66661169,0.6368802002,0.6830934046,0.6606943565,0.7923148579,0.8159639589,0.9008755508,0.8302078577,0.709011633,0.7184050495,0.7425164262,0.7515405221,0.7545690952,0.7975341139,0.8118741865,"Croatia","euhrv"
,-0.0926122513,-0.0281429226,-0.2003996217,-0.4689863013,-0.6008744903,-0.4165879875,-0.0018800871,0.1648906881,0.047550208,-0.0424689006,-0.3087117865,-0.1807352152,-0.3467429701,0.0647831696,0.0688355914,0.1322184034,-0.1400323701,,,,,,,"Cuba","nacub"
1.0647740901,1.1327512459,1.1967670854,1.2550401126,1.3152642719,1.3394079118,1.3837773901,1.4087440947,1.3995929475,1.408175534,1.4210698229,1.4516454564,1.5201201094,1.644434846,1.6147843083,1.6380488953,1.6456159495,1.6116791065,1.574412903,1.5773478797,1.5984389054,1.6052936532,1.5940339813,1.6104261411,"Czechia","eucze"
,,,,,,,,,-1.5543547883,-1.217290641,-1.4962369456,-1.7480437019,-1.5158073316,-1.185181063,-1.3814526443,-1.3860001156,-1.1867927446,-1.254933458,-0.7592912164,-0.8803408174,-0.9309509106,-1.0727122728,-1.4687558501,"Democratic Republic of the Congo","afcod"
1.1277607662,1.13574674,1.160385148,1.1786561391,1.10827093,1.1406900881,1.130420897,1.0737466973,1.0775933963,1.0584765095,1.0643624119,1.0843915402,1.0757198404,1.1039857124,1.0836296778,1.1101202835,1.0672067804,1.0321203852,1.0372571046,1.048613875,1.0372398433,1.0151490471,0.976599639,0.982312059,"Denmark","eudnk"
-1.2145957743,-0.9377176808,-0.7506079568,-0.5920702721,-0.5621919845,-0.6014303469,-0.4771231931,-0.4056186937,-0.2865312909,-0.0970480952,-0.0920106656,-0.0714293801,-0.1965549317,-0.1279340605,-0.1190748512,-0.1792822494,-0.1220580306,-0.1060970867,-0.0662003492,-0.1334558606,-0.1042886262,-0.0669233039,-0.1610491268,0.0087937136,"Dominican Republic","nadom"
-1.0500645272,-1.0604673513,-1.0127564,-0.9291009648,-0.8707272522,-0.9925680307,-0.9548085752,-1.0089903335,-0.9319528808,-0.74189543,-0.7663211201,-0.8400906136,-0.8684058112,-0.6778746187,-0.5875585162,-0.5653316011,-0.7571131228,-0.7708132234,-0.7867101032,-0.7844068656,-0.7624050773,-0.7977469937,-0.9094937006,-0.8239662007,"Ecuador","saecu"
